time_points,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69
PF3D7_0100100,2.36902,5.95186,14.0131,15.3369,14.0454,6.33733,1.22329,0.358004,0.196325,0.147918,0.370192,0.691274,2.13276,5.99387,11.2943,17.1317,22.4894,8.11009,2.26166,0.866271,0.360599,0.269401,0.420854,0.987505
PF3D7_0100200,0,0,0,0,0,0.187219,0.122129,0.0611073,0,0.185373,0.31341,0.0637983,0.219841,0,0,0.114553,0.442194,0.484713,0.664847,0.269632,0,0.079194,0.219038,0.0861302
PF3D7_0100300,2.27976,4.95829,11.655,12.0809,9.6752,4.14609,0.819068,0.422627,0.405405,0.479157,0.936007,1.27023,2.32676,5.43034,9.21421,13.0364,14.3338,5.60757,2.04828,0.805261,0.763427,0.580913,0.860738,1.66071
PF3D7_0100400,0,0,0,0,0.0740013,0.540198,0.581442,0.0793429,0,0,0.0339115,0,0,0,0,0,0,0.251745,0.63305,0.116699,0.281529,0,0.0474005,0.149111
PF3D7_0100500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100600,0,0,0,0.0515503,0,0,0.110422,0.0828742,0.0485816,0,0,0,0,0,0,0,0.266537,0,0.240446,0,0,0,0.0495101,0
PF3D7_0100700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86073,2.53918,0,0,1.70375,0,0,0
PF3D7_0100800,1.03674,0.436417,0.552105,0.217364,0.488875,5.59098,9.77754,2.64994,0.768172,0.500582,1.2695,2.06737,0.942873,0.404835,0.423256,0.218358,0.842896,6.92959,7.60386,2.89105,0.619955,1.0567,1.25257,2.54477
PF3D7_0100900,0,0.0711946,0,0,0,0.232871,0.341797,0.085509,0,0.0576438,0,0,0,0,0,0,0,0.452181,0.434157,0.125768,0,0.147758,0.102168,0.0803495
PF3D7_0101000,0,0,0.0750788,0.310364,0.232681,0.283089,0.277003,0.0554393,0,0.0560596,0.213255,0.231523,0.099725,0,0.0575571,0.051964,0.267452,0.263852,0.482543,0.0611556,0.0590138,0,0.397442,0.62513
PF3D7_0101100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0101200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0101300,0,0,0,0,0,0,0.0959399,0.0960069,0,0,0,0,0,0,0,0,0,0,0.208911,0,0,0,0,0
PF3D7_0101400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0101500,0,0,0,0,0.0467993,0,0,0,0,0,0,0,0,0,0,0.0627093,0,0.0530688,0,0,0,0,0,0
PF3D7_0101600,0.271698,0,0,0.0498438,0.0747362,0.163669,0.16015,0.0534206,0.0939468,0.108037,0.20549,0,0,0.148533,0,0,0,0.423741,0.581215,0.235715,0.170595,0.415393,0.38297,0.376479
PF3D7_0101700,0,0,0,0.233997,0.116952,0.0853733,0,0,0,0,0,0,0,0.0581085,0.0867896,0.235068,0,0,0.0454763,0,0,0.0541696,0,0
PF3D7_0101800,0,0,0,0,0,0,0.0726126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0101900,0.148642,0,0,0.0545377,0.490646,0.298469,0.759336,0.146128,0.051397,0,0,0,0,0,0.0606841,0.0547872,0.422975,0.463646,0.76314,0.902694,0.18666,0.0757519,0,0.0823866
PF3D7_0102000,6.82423,3.13523,1.17231,0.323078,2.17991,3.00579,2.16262,0.735806,0.304472,0.043767,0.0554977,0.0903776,2.80287,2.52724,1.34808,0.730251,1.04403,1.3733,3.29641,0.0954911,0.27644,0.112187,0,0.122013
PF3D7_0102100,0,0.187115,1.0145,0.629068,0.31441,0.382523,0.673738,0.299648,0.197613,0.0378752,0,0.0782111,0,0.520722,0.466642,1.19367,0.180697,0.475373,0.733539,0.66109,0.478453,0,0,0
PF3D7_0102200,8917.93,7731.39,3281.59,901.822,238.458,75.5982,21.6375,6.41176,5.29646,2.88512,8.91229,608.926,7509.46,8340.57,3566.64,1121.65,1145.74,93.8224,20.9194,123.5,5.92246,10.4152,12.9829,179.831
PF3D7_0102300,20.3903,5.20723,4.34347,1.49627,2.24352,2.62037,35.8964,131.498,223.078,137.186,60.0413,32.4807,9.23089,3.56706,0.66596,0.601246,0,2.03526,13.9581,47.0551,75.7924,93.1074,61.5059,24.8635
PF3D7_0102400,3.63529,2.35919,1.10625,1.47672,1.07139,2.18987,6.07124,9.54719,14.1413,16.2621,12.5034,9.91433,5.51026,1.77443,1.21911,0.574249,0.12315,0.728952,2.22189,4.67445,5.70636,9.26321,8.78418,7.62786
PF3D7_0102500,1963.66,281.931,53.6137,19.6938,7.6908,3.68051,2.34359,1.44156,2.1284,1.10959,37.2023,697.756,1451.56,490.044,59.1726,17.3034,7.26582,2.85014,1.31092,1.95808,2.18724,1.71487,20.6979,233.604
PF3D7_0102600,46.2795,28.3478,15.0203,18.8788,146.146,243.515,82.4242,15.9346,8.16499,4.52089,2.09461,4.63784,36.2933,36.1773,15.8887,28.9582,120.563,144.355,104.614,24.438,7.71834,4.27134,3.36438,2.10055
